date,time,user,source AP,destination AP
2019-09-05,16:10:53.536,50,7,1
2019-09-05,16:10:58.997,116,5,0
2019-09-05,16:17:06.232,79,4,7
2019-09-05,16:17:22.251,79,7,3
2019-09-05,16:17:28.849,79,3,0
2019-09-05,16:17:35.993,79,0,5
2019-09-05,16:28:00.583,62,2,8
2019-09-05,16:30:55.057,7,6,4
2019-09-05,16:31:58.559,64,4,7
2019-09-05,16:32:21.938,64,7,10
2019-09-05,16:32:55.494,189,8,1
2019-09-05,16:33:06.614,64,10,2
2019-09-05,16:33:11.759,62,8,1
2019-09-05,16:33:24.481,64,2,6
2019-09-05,16:38:34.054,17,1,0
2019-09-05,16:45:24.749,6,2,6
2019-09-05,16:45:38.200,6,6,2
2019-09-05,16:53:46.183,49,0,7
2019-09-05,16:53:53.846,136,0,9
2019-09-05,16:54:22.290,136,9,5
2019-09-05,17:01:32.843,7,6,4
2019-09-05,17:02:23.288,63,0,5
2019-09-05,17:02:31.204,63,5,0
2019-09-05,17:04:45.005,63,0,3
2019-09-05,17:06:36.262,64,5,7
2019-09-05,17:06:42.226,63,10,0
2019-09-05,17:08:23.729,64,0,7
2019-09-05,17:08:36.079,64,7,9
2019-09-05,17:09:45.552,38,2,9
2019-09-05,17:09:57.197,64,9,6
2019-09-05,17:10:05.837,38,1,7
2019-09-05,17:10:15.797,38,7,0
2019-09-05,17:13:18.946,50,1,0
2019-09-05,17:19:11.353,17,1,0
2019-09-05,17:19:26.820,38,0,11
2019-09-05,17:19:34.636,17,9,0
2019-09-05,17:20:23.784,17,0,9
2019-09-05,17:20:41.211,74,10,4
2019-09-05,17:20:52.287,50,10,5
2019-09-05,17:22:00.846,17,9,5
2019-09-05,17:22:14.849,38,7,0
2019-09-05,17:22:22.356,38,0,11
2019-09-05,17:22:31.343,38,11,7
2019-09-05,17:22:58.679,38,7,8
2019-09-05,17:23:19.907,52,4,9
2019-09-05,17:24:15.318,52,9,4
2019-09-05,17:27:25.241,52,4,6
2019-09-05,17:29:17.878,74,4,9
2019-09-05,17:30:27.898,38,8,2
2019-09-05,17:31:07.919,17,5,9
2019-09-05,17:31:12.974,72,0,7
2019-09-05,17:31:18.836,50,10,7
2019-09-05,17:31:26.770,50,7,0
2019-09-05,17:32:10.509,7,6,4
2019-09-05,17:33:24.573,72,7,10
2019-09-05,17:37:07.038,15,8,3
2019-09-05,17:38:30.596,15,3,1
2019-09-05,17:38:41.800,15,1,7
2019-09-05,17:38:57.133,15,7,0
2019-09-05,17:40:10.198,79,4,7
2019-09-05,17:40:17.441,79,7,0
2019-09-05,17:41:55.334,62,3,0
2019-09-05,17:43:17.238,52,6,4
2019-09-05,17:44:21.454,53,1,7
2019-09-05,17:44:31.615,53,7,10
2019-09-05,17:45:47.868,64,6,9
2019-09-05,17:45:59.022,64,9,7
2019-09-05,17:46:05.960,64,7,0
2019-09-05,17:48:55.090,53,10,1
2019-09-05,17:50:03.956,85,8,2
2019-09-05,17:50:41.097,85,2,0
2019-09-05,17:55:52.760,42,3,8
2019-09-05,17:56:24.385,42,8,2
2019-09-05,17:58:26.699,42,2,6
2019-09-05,17:58:38.188,51,4,7
2019-09-05,17:59:00.727,51,7,0
2019-09-05,17:59:10.835,42,6,2
2019-09-05,18:01:02.297,38,2,6
2019-09-05,18:01:37.190,38,6,5
2019-09-05,18:02:11.915,42,2,8
2019-09-05,18:02:49.098,7,5,4
2019-09-05,18:03:33.742,51,0,7
2019-09-05,18:03:45.055,51,7,9
2019-09-05,18:04:08.977,51,9,4
2019-09-05,18:04:41.050,62,0,7
2019-09-05,18:06:00.795,173,5,2
2019-09-05,18:06:30.140,51,4,7
2019-09-05,18:06:36.171,51,7,0
2019-09-05,18:06:45.050,102,4,0
2019-09-05,18:07:34.797,51,0,10
2019-09-05,18:09:19.982,50,0,9
2019-09-05,18:09:26.851,17,0,3
2019-09-05,18:09:48.217,50,10,4
2019-09-05,18:11:40.668,82,10,1
2019-09-05,18:11:58.049,82,1,3
2019-09-05,18:12:23.265,82,1,0
2019-09-05,18:13:31.903,82,11,0
2019-09-05,18:13:48.013,82,0,3
2019-09-05,18:14:23.958,82,7,9
2019-09-05,18:15:50.032,53,1,9
2019-09-05,18:16:00.863,53,7,9
2019-09-05,18:16:55.862,53,9,1
2019-09-05,18:19:28.357,62,3,10
2019-09-05,18:19:55.671,73,3,7
2019-09-05,18:20:08.000,73,7,1
2019-09-05,18:20:40.147,73,1,7
2019-09-05,18:20:54.833,53,1,10
2019-09-05,18:22:45.709,42,8,6
2019-09-05,18:22:55.052,53,10,3
2019-09-05,18:23:03.092,42,6,10
2019-09-05,18:23:27.169,42,7,0
2019-09-05,18:25:55.279,42,0,4
2019-09-05,18:26:20.017,42,4,2
2019-09-05,18:27:38.435,42,2,8
2019-09-05,18:29:13.185,76,1,7
2019-09-05,18:30:18.165,56,3,0
2019-09-05,18:31:28.998,38,2,8
2019-09-05,18:32:37.639,53,3,10
2019-09-05,18:33:26.767,7,6,4
2019-09-05,18:34:05.657,53,10,3
2019-09-05,18:51:39.298,38,8,2
2019-09-05,19:01:20.667,43,0,10
2019-09-05,19:04:04.745,7,6,4
2019-09-05,19:08:16.368,53,1,3
2019-09-05,19:08:22.509,53,5,0
2019-09-05,19:10:09.523,53,0,3
2019-09-05,19:11:58.273,109,3,0
2019-09-05,19:13:48.583,38,2,6
2019-09-05,19:14:29.401,38,6,2
2019-09-05,19:15:35.916,35,6,4
2019-09-05,19:24:18.849,38,2,8
2019-09-05,19:28:29.111,43,3,0
2019-09-05,19:28:50.207,38,8,2
2019-09-05,19:30:10.782,38,2,1
2019-09-05,19:31:06.845,17,4,9
2019-09-05,19:31:27.130,17,9,0
2019-09-05,19:34:42.197,7,6,4
2019-09-05,19:40:15.666,53,3,10
2019-09-05,19:41:34.471,6,2,8
2019-09-05,19:42:06.764,53,0,1
2019-09-05,19:48:00.018,53,1,3
2019-09-05,19:49:49.103,53,3,7
2019-09-05,19:50:04.737,53,7,0
2019-09-05,19:52:10.264,50,4,7
2019-09-05,19:52:18.402,50,7,0
2019-09-05,19:52:29.734,55,9,1
2019-09-05,19:55:07.374,42,1,3
2019-09-05,19:55:28.939,38,1,0
2019-09-05,19:55:42.412,42,0,8
2019-09-05,19:57:57.518,42,8,4
2019-09-05,19:58:27.852,42,4,2
2019-09-05,19:58:41.837,42,2,8
2019-09-05,20:03:22.124,73,10,11
2019-09-05,20:03:27.911,73,11,0
2019-09-05,20:04:26.854,76,9,7
2019-09-05,20:05:05.993,73,0,7
2019-09-05,20:05:20.479,7,6,4
2019-09-05,20:05:56.315,83,9,4
2019-09-05,20:07:01.384,83,4,11
2019-09-05,20:07:09.610,76,0,10
2019-09-05,20:07:40.561,82,9,7
2019-09-05,20:07:59.475,82,7,0
2019-09-05,20:08:17.285,82,0,11
2019-09-05,20:08:35.929,83,11,0
2019-09-05,20:09:27.098,76,4,10
2019-09-05,20:09:35.699,83,0,10
2019-09-05,20:09:55.310,82,11,0
